id,date_time,city,state_id,shape,duration,summary,date_posted
1684,11/26/20 20:15,Olathe,KS,Fireball,3 minutes,Driving home from work and saw one fireball. Watched for about a minute and it disappeared.  Drove home about a minute away and looked,12/23/20
1685,11/26/20 20:05,Phoenix,CA,Circle,About 8 mins,Nine lights moving eastbound (before dimming) across Phoenix sky.,12/23/20
1686,11/26/20 20:00,Irving,TX,Light,7-8 minutes,3 red/orange objects rapidly move across the sky near Dallas on Thanksgiving eve,12/23/20
1687,11/26/20 20:00,Fredericksburg,VA,Light,30mims,"I was out in my back yard walking the dog around 8:00pm. The moon is bright and it's a clear night, I can see the stars every well. I'm",12/23/20
1688,11/26/20 18:00,Denver,CO,Light,6:00,Light's looking like stars moving in a circle formation lasting all night to high to be a drown and to low to be a star.. blinking mult,12/23/20
1689,11/26/20 05:30,Lubbock,TX,Changing,18mins,I had gone to the kitchen to get a drink of water and noticed that it was bright outside (it was 530 in the morning and should have bee,12/23/20
1690,11/26/20 05:15,Borrego Springs,CA,Other,5 minutes,Long string of lights moving across the early morning sky above a mountain ridge,12/23/20
1691,11/26/20 03:26,Hanover,MD,,,MADAR Node 77,12/23/20
1692,11/26/20 03:00,Arvada,CO,Other,30 seconds,"Hemishphere that looked like the moon at first, but appeared to be 4x larger and sideways on 64th ave in arvada. Retreated into the sky",12/23/20
1693,11/26/20 01:34,Webster Springs,WV,Disk,15 minutes,Unexplained craft rising from the side of the mountain.,12/23/20
1694,11/26/20 00:00,Pollock,LA,Changing,2 hours,Bright orange orb stalking my farm. We have had 4 incidents. It changes shape and colors as well as comes all hours.,12/23/20
1695,11/26/20,Pollock,LA,Changing,2 hours,"Update with proof and recordings and pics!  I was @ 455-515am walking to my deer stand in my back pasture, not paying attention to the",12/23/20
1696,11/25/20 23:24,Sartell,MN,Circle,13 seconds,Circular Light pulsing in northern part of sky with duration of approx 13 seconds.,12/23/20
1697,11/25/20 22:00,Carson City,NV,Light,Unknown,We were driving on 5th St coming off of Fairview just as we got over the bridge just right after the old barn in the big field in the r,12/23/20
1698,11/25/20 22:00,Orlando,FL,Fireball,10 mins,Orlando FireBall 2020,12/23/20
1699,11/25/20 21:30,Hampton,AR,Light,10 min,There was a white light to the southwest looking towards union County that flickered and zig zagged right above tree line of our pastur,12/23/20
1700,11/25/20 19:45,Outlook,WA,Oval,4sec,I saw this oddly shaped silver white object falling at a 45 degree angle then a 90 left turn shoot a blue torch flame an fucking gone,12/23/20
1701,11/25/20 17:45,South Hempstead,NY,Triangle,8 minutes,"Green, red and white lights on and off on the craft. Was moving slow st first, then would speed up super fast, and at the end of my blo",12/23/20
1702,11/25/20 17:30,Covington,GA,Unknown,20 minutes,"Unidentifiable flying objects hovering than moving in one direction, either saucer, triangle, or diamond shaped.",12/23/20
1703,11/25/20 16:00,San Diego,CA,Light,3 Minutes,"I have been followed by lights for a while now, all throughout the US, even when I was in Hawaii and Puerto Rico. I do not always see t",12/23/20
1704,11/25/20 06:46,West Chazy,NY,,,MADAR Node 65,12/23/20
1705,11/25/20 06:17,Tucson,AZ,Formation,2 minutes,At this time I went outside with my dogs and I looked at the sky when I saw a weird light formation along the sky looked like a tail of,12/23/20
1706,11/25/20 06:16,Phoenix,AZ,Cigar,5 minutes,Phoenix UFO near sky harbor,12/23/20
1707,11/25/20 06:00,Scipio,UT,Disk,5 min,Single Saucer flying over highway in Utah.,12/23/20
1708,11/25/20 05:46,Seguin,TX,Other,9 minutes,I Always Look Up In Sky Since I Was Told About UFOs...I Was Sitting In My Backyard And Noticed The Odd Shaped Flying Craft..Usually I W,12/23/20
1709,11/25/20 05:45,Brownwood,TX,,20 seconds,First seen directly above me. Lights only. A string of 12-15 lights. No sound. No “trail”.  Moving smoothly and steadily to the ESE. Th,12/23/20
1710,11/25/20 05:40,Los Banos,CA,Formation,30,Moving V shaped “star” formation,12/23/20
1711,11/25/20 05:31,Southgate,CA,Circle,2 minutes,Witnessed a giant ship floating over southgate LA. It looked as if a piece of the sky was moving all at once with a bunch of small roun,12/23/20
1712,11/25/20 05:30,Boneta,AZ,Formation,5 mins,"Large string of lights in formation traveling north to south, above above the mountain range ((Starlink satellites??))",12/23/20
1713,11/25/20 05:30,lakehills,TX,Circle,45 sec,saw about 20 lights to form a circle flying above my house,12/23/20
1714,11/25/20 05:15,San Bernardino,CA,Cigar,2 minutes,went out this morning to start the truck and i see a long glowing light in the sky with four lights within. i ran back inside to get my,12/23/20
1715,11/25/20 05:15,Corona,CA,Formation,2 minutes,10 lights in perfect line formation flying silently at an unbelievable speed.,12/23/20
1716,11/25/20 05:00,Palmdale,CA,Cigar,1 minute,A bunch of white lights in a straight line tilted on a 20 or 30 degree angle,12/23/20
1717,11/25/20 05:00,Palm Desert,CA,Rectangle,4 minutes,I was visiting family in california. arrived late on 11/24th. I was awakend to let my dog outside at 5am to potty. I was looking up at,12/23/20
